asin,tf_title,tf_idf_title,tf_bullet,tf_idf_bullet,tf_des,tf_idf_des,semantic_title,semantic_bullet,semantic_description
1035904942,0.083333333,0.121603315,0,0,0,0,0.3995382,0,0
1071168193,0.307692308,0.518749118,0,0,0,0,0.6401679,0,0
1072291347,0.208333333,0.389992438,0,0,0,0,0.39728585,0,0
1087818540,0.1,0.23076793,0,0,0,0,0.67183334,0,0
1090545673,0.5,0.579738672,0,0,0,0,0.7019387,0,0
1091253080,0.238095238,0.462321392,0,0,0,0,0.6446717,0,0
1093189908,0.25,0.444476252,0,0,0,0,0.6837398,0,0
1118209206,0.5,0.579738672,0,0,0,0,0.81647974,0,0
1118252926,0.5,0.579738672,0,0,0,0,0.69780684,0,0
1118271793,0.111111111,0.278942545,0,0,0,0,0.40796292,0,0
1118363612,0.25,0.379978362,0,0,0,0,0.58423525,0,0
1118816285,0.25,0.379978362,0,0,0,0,0.457474,0,0
1118862341,0.5,0.579738672,0,0,0,0,0.81647974,0,0
1119049571,0.333333333,0.449436417,0,0,0,0,0.6202,0,0
1119114632,0.166666667,0.303216064,0,0,0,0,0.45153907,0,0
1119607795,0.25,0.379978362,0,0,0,0,0.7217502,0,0
1119671469,0.25,0.220288151,0,0,0,0,0.4671989,0,0
1119683890,0.333333333,0.579738672,0,0,0,0,0.45303917,0,0
1119740274,0.5,0.579738672,0,0,0,0,0.73039925,0,0
1119775663,0.5,0.579738672,0,0,0,0,0.81647974,0,0
1119892996,0.333333333,0.579738672,0,0,0,0,0.45937064,0,0
1120332478,0.166666667,0.278942545,0,0,0,0,0.23089315,0,0
1133189024,0.111111111,0.116717735,0,0,0,0,0.40164083,0,0
1138196614,0,0,0,0,0,0,0.016457994,0,0
1328740536,0.5,0.579738672,0,0,0,0,0.69861734,0,0
1333382596,0.090909091,0.23076793,0,0,0,0,0.48227036,0,0
1365037959,0.166666667,0.303216064,0,0,0,0,0.45771635,0,0
1368044840,0.2,0.335175743,0,0,0,0,0.4102285,0,0
1368076858,0.2,0.335175743,0,0,0,0,0.4814436,0,0
1387036076,0.222222222,0.355476778,0,0,0,0,0.53905463,0,0
1394152167,0.333333333,0.449436417,0,0,0,0,0.6202,0,0
1394251327,0.333333333,0.579738672,0,0,0,0,0.45303917,0,0
1394252749,0.5,0.579738672,0,0,0,0,0.81647974,0,0
1408365219,0.5,0.579738672,0,0,0,0,0.73784745,0,0
1408872781,0.5,0.411207055,0,0,0,0,0.6010357,0,0
1409555941,0.5,0.709297267,0,0,0,0,0.765516,0,0
1410498182,0,0,0,0,0,0,0.14088696,0,0
1419765639,0.111111111,0.219510951,0,0,0,0,0.24917102,0,0
1423106520,0.2,0.335175743,0,0,0,0,0.38260984,0,0
1433111039,0,0,0,0,0,0,0.3135394,0,0
